SA Professional Approach,SA Attitude And Friendliness,SA Product Knowledge,On The Promised Time,Completed First Time,SA Explain The Work ,Cleaned Properly,Concern,Overall Evaluation
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,8,10,10,NO,10
10,10,10,10,7,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,6,9,9,9,NO,9
9,9,9,6,9,9,9,NO,9
9,9,9,6,9,9,9,NO,9
8,8,8,8,8,8,8,YES,8
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
5,5,5,5,5,5,5,YES,5
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,7,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
7,7,7,7,7,7,7,YES,2
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
6,6,6,6,6,6,6,YES,6
6,6,6,6,6,6,6,YES,6
7,7,7,7,7,7,7,YES,7
8,8,8,8,8,8,8,YES,8
8,8,8,8,8,8,8,YES,8
8,8,8,8,8,8,8,YES,8
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,7,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
8,8,8,5,8,8,8,YES,8
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
6,6,3,0,5,5,5,YES,5
9,9,9,9,9,9,9,NO,9
6,6,6,6,6,6,6,YES,6
9,9,9,9,9,9,9,YES,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
7,7,7,7,7,7,7,YES,7
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
6,6,6,6,6,6,6,YES,6
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
6,6,6,6,6,6,6,YES,6
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
7,7,7,7,7,7,7,YES,7
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
1,1,1,1,1,1,0,YES,1
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,10,9,9,9,9,NO,9
8,8,9,9,9,9,9,YES,9
9,9,9,9,9,9,9,NO,9
7,7,6,8,5,7,7,YES,7
9,9,9,9,9,9,9,NO,9
7,8,8,8,10,10,10,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
7,7,4,4,7,5,6,YES,7
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,5,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
8,8,8,8,8,8,8,YES,8
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
8,8,8,8,8,8,8,YES,8
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
7,7,7,7,7,7,7,YES,7
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,6,8,8,9,YES,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,10
9,9,9,9,9,9,9,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,8,8,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
8,8,8,6,6,7,7,YES,4
10,10,10,10,10,10,10,NO,10
8,8,8,8,8,8,8,NO,8
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,7,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,YES,9
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,7,10,10,10,NO,10
9,9,9,9,9,9,9,YES,9
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
10,10,10,7,7,10,10,YES,7
10,10,10,10,10,10,10,NO,10
8,8,8,8,8,8,8,YES,8
8,8,8,8,8,8,8,YES,8
8,8,8,8,8,8,8,YES,8
9,9,9,9,9,9,9,NO,9
10,10,10,9,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,8,9,9,9,YES,8
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
7,7,7,9,9,9,9,YES,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
7,7,7,7,7,7,7,YES,7
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,8,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,YES,10
9,9,9,6,9,9,9,YES,9
10,10,10,10,10,10,10,NO,10
9,9,9,5,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,8,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,8,9,9,9,YES,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,8,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
7,7,7,7,7,7,7,YES,7
9,9,9,7,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
5,5,5,3,5,6,9,Yes,7
5,5,4,6,6,6,7,Yes,6
5,5,9,9,9,9,9,No,9
5,5,8,5,8,8,8,Yes,5
6,6,6,3,7,5,8,Yes,5
6,6,6,6,6,6,6,Yes,6
6,6,7,8,8,8,6,No,8
6,6,10,10,10,6,7,No,8
7,7,7,7,7,8,8,No,8
7,7,7,7,7,7,7,Yes,7
7,7,9,9,8,8,10,Yes,8
7,7,5,5,1,5,6,Yes,6
7,7,10,6,8,7,7,Yes,7
7,7,10,8,10,10,10,No,10
8,8,6,5,3,6,6,Yes,7
8,8,8,10,10,8,8,No,9
8,8,8,10,10,10,10,No,8
8,8,9,8,8,8,8,No,9
8,8,8,7,8,8,8,Yes,8
8,8,8,7,7,7,8,No,8
8,8,8,9,9,8,8,No,8
8,8,8,8,8,8,8,No,8
8,8,9,10,8,8,8,No,9
8,8,8,10,10,10,9,Yes,10
8,8,8,9,9,8,7,Yes,8
8,8,10,10,10,10,10,Yes,8
8,8,8,10,10,10,5,No,8
8,8,8,9,9,9,9,No,10
8,8,8,8,8,8,8,No,8
8,8,8,9,9,9,9,No,9
8,8,8,5,5,8,7,No,7
8,8,8,8,8,6,10,Yes,10
8,8,8,8,8,8,8,No,8
8,8,8,10,10,8,8,No,8
9,9,9,9,9,9,9,No,9
9,9,9,9,10,9,10,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,8,7,9,10,9,No,8
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,Yes,9
9,9,9,8,8,8,8,No,9
9,9,10,10,10,8,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,7,5,5,5,Yes,5
9,9,8,7,7,8,8,Yes,8
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,5,9,9,9,Yes,9
9,9,9,6,7,8,8,No,8
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,6,9,Yes,9
9,9,9,9,9,9,9,No,9
9,9,9,10,10,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,10,10,10,10,10,No,10
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,10,10,10,10,10,No,10
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
10,10,10,10,10,10,10,No,10
10,10,10,8,8,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,9,10,No,10
10,10,10,5,5,5,10,No,10
10,10,10,10,10,10,10,No,10
10,8,8,10,9,10,10,No,8
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,8,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,8,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,9,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,9,10,10,10,No,10
10,10,10,10,10,10,10,Yes,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,5,10,8,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,8,10,10,10,No,10
10,10,10,5,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,9
10,10,10,10,10,10,10,No,10
10,10,8,10,10,10,10,No,10
10,10,10,9,7,8,8,Yes,0
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,8,10,10,3,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
9,9,9,9,9,9,9,Yes,9
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,Yes,10
10,10,10,8,10,10,10,No,10
10,10,10,10,5,10,10,No,8
10,10,10,10,10,10,10,No,10
10,10,10,8,8,7,8,No,8
10,10,10,5,10,3,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,8,9,9,9,Yes,8
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,4,10,Yes,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,Yes,10
10,10,10,6,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,5,7,5,10,No,10
10,10,10,6,10,6,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,4,10,No,10
10,10,10,10,10,10,1,Yes,7
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,8,No,8
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,6,8,8,8,Yes,8
0,0,0,0,0,0,0,Yes,0
0,0,0,0,0,0,0,Yes,0
0,0,0,0,0,0,0,Yes,0
3,2,2,2,2,2,2,Yes,2
3,3,2,3,2,3,3,Yes,2
4,4,5,6,5,5,5,Yes,6
4,4,4,4,4,4,4,Yes,4
5,5,5,5,5,5,5,Yes,5
5,5,2,0,0,0,5,Yes,5
5,5,10,2,10,10,2,Yes,4
5,5,7,5,5,10,5,Yes,5
6,6,6,6,6,6,6,Yes,6
6,7,6,3,6,7,7,Yes,7
7,8,7,8,10,10,8,Yes,8
7,7,9,5,9,10,6,Yes,9
8,8,9,2,8,0,7,Yes,9
8,6,6,5,6,6,5,Yes,5
8,8,4,4,8,4,9,Yes,6
8,8,8,8,7,7,7,Yes,7
9,9,9,5,9,9,9,Yes,9
9,9,9,9,9,9,9,Yes,9
9,9,9,6,6,9,9,Yes,9
9,9,9,5,9,9,9,Yes,9
10,10,5,8,8,5,5,Yes,5
10,10,9,10,5,10,8,No,9
10,10,10,7,10,10,10,Yes,10
10,10,10,0,10,10,0,Yes,5
10,10,8,8,8,10,8,Yes,9
10,10,7,10,10,10,10,Yes,10
10,10,10,10,7,10,10,Yes,10
9,9,9,9,9,9,9,Yes,9
3,3,8,8,10,10,10,Yes,7
5,5,8,8,10,8,10,Yes,8
5,5,5,7,5,4,10,Yes,5
5,5,8,9,8,8,9,No,7
6,6,6,0,7,4,8,Yes,5
6,6,5,7,7,6,5,No,7
7,7,7,9,9,10,10,Yes,7
7,7,7,8,7,5,7,No,6
7,7,9,10,10,10,10,No,10
7,7,5,8,8,7,8,No,10
8,8,8,8,8,8,8,No,8
8,8,8,8,8,8,8,No,8
8,8,8,8,8,8,8,Yes,8
8,8,8,9,10,9,4,No,7
8,8,10,10,10,8,10,No,8
10,10,10,10,10,10,10,No,10
8,9,8,10,10,10,10,No,10
8,8,8,8,8,8,7,Yes,8
8,8,6,3,8,0,8,Yes,8
8,8,8,9,9,8,8,No,9
8,8,8,8,8,8,8,No,8
8,8,7,8,9,8,8,No,8
8,8,8,9,8,8,8,Yes,8
8,8,8,8,8,8,8,No,8
8,8,8,5,8,8,8,No,8
8,8,10,8,10,10,10,Yes,10
8,8,5,8,8,9,10,No,8
8,10,10,0,10,10,10,No,9
8,8,10,10,5,10,0,Yes,8
8,8,10,10,10,8,8,No,8
8,8,10,10,10,8,6,No,6
8,8,7,5,7,7,8,Yes,7
9,9,9,9,9,9,9,No,9
9,9,8,8,9,8,8,No,8
9,9,9,5,7,6,9,Yes,8
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,7,9,9,9,No,9
9,9,7,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,10,10,10,10,No,10
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,Yes,9
9,9,9,9,9,9,9,No,9
9,9,9,5,5,6,6,Yes,7
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,8,9,9,9,No,9
9,9,9,8,9,9,9,No,9
9,9,9,7,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,Yes,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,10,10,10,10,10,10,No,10
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,10,10,10,10,10,No,10
9,9,9,9,7,9,9,No,7
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,8,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,8,8,8,6,8,No,8
9,9,9,9,9,9,8,No,8
9,9,9,9,9,9,9,No,9
9,9,9,8,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,5,8,8,6,Yes,6
9,9,9,9,9,9,9,No,9
9,9,9,8,8,9,10,No,9
9,9,9,9,9,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,10,10,10,10,10,No,9
9,9,9,8,8,9,9,No,9
9,9,9,9,9,9,9,No,9
9,9,9,10,10,10,10,Yes,9
9,9,9,8,8,10,8,No,8
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,8,7,9,6,10,No,10
10,10,10,8,6,6,6,No,7
10,10,10,10,10,10,10,No,10
10,10,10,8,8,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,5,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,9,10,10,10,No,10
10,10,10,5,8,7,7,Yes,8
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,9,10,10,10,10,10,No,10
10,10,0,8,5,8,8,Yes,5
10,10,9,10,10,9,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,8,8,9,6,No,10
10,10,10,10,10,10,10,No,10
10,10,10,5,8,10,10,Yes,9
10,10,10,10,10,10,10,No,10
7,7,7,7,7,7,7,No,7
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,9,9,10,9,Yes,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,Yes,10
10,10,10,10,10,10,10,No,10
10,10,9,10,10,10,10,No,9
10,10,10,7,10,10,10,Yes,10
10,10,10,9,10,10,10,No,10
10,10,10,7,9,9,9,Yes,9
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
10,10,10,10,10,10,10,No,10
